2025-04-26 08:06:18 | Sistema | Deserialización | ERROR | Error al cargar datos: com.example.models.GestorDatos
2025-04-26 08:06:18 | Sistema | Inicialización | ÉXITO | Inicializando sistema con datos por defecto
2025-04-26 08:06:18 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:18 | Sistema | Carga de repuestos | ERROR | Repuestos cargados: 0 de 30 líneas.
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 1 - Cambio Pistones
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 2 - Mantenimiento Frenos
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 3 - Servicio Filtro
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 4 - Reparacion Motor
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 5 - Suspension Completa
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 6 - Servicio General
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 7 - Cambio Pastillas
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 8 - Reparacion Embrague
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 9 - Reemplazo Sensor
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 10 - Servicio Luces
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 11 - Reemplazo Correa
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 12 - Servicio Electrico
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 13 - Reparacion Encendido
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 14 - Revision Aire
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 15 - Reemplazo Radiador
2025-04-26 08:06:29 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 08:06:29 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 16 - Ajuste Motor
